GeneName;ID;baseMean;log2FC;pval;padj
98;ENSG00000211592;19.170954;2.0374792;6.471094527283079e-82;7.292194998427079e-80
99;ENSG00000169567;19.113132;1.4626824;1.9631940796958699e-81;2.1977441092174302e-79
0;ENSG00000198712;48.637596;1.3688058;0;0
1;ENSG00000198727;44.202656;1.3835169;0;0
2;ENSG00000198938;42.81802;1.2960613;0;0
3;ENSG00000144649;42.321465;2.4582317;0;0
4;ENSG00000198804;41.77987;1.3670002;0;0
5;ENSG00000198840;40.644257;1.4563376;0;0
6;ENSG00000122566;39.777287;1.3051516;0;0
7;ENSG00000269028;39.33976;1.2396394;0;0
8;ENSG00000212907;36.782795;1.1968061;3.47871372777744e-293;5.05929852921888e-293
9;ENSG00000198899;35.64158;1.1583462;3.18206901651143e-278;4.55009129285366e-276
10;ENSG00000153064;34.760197;1.7905242;9.721279424657411e-265;1.30249835188953e-262
11;ENSG00000163864;34.007076;3.3273022;1.75097970706635e-253;2.2070126441067397e-251
12;ENSG00000162924;33.308105;1.4449235;2.94703231340729e-243;3.5565036769459893e-241
14;ENSG00000101596;32.376827;2.0878534;5.81806643166414e-230;6.6000145600798e-228
15;ENSG00000198888;32.10537;1.0222384;3.710267987783039e-226;4.1264000052363596e-224
17;ENSG00000173212;31.517788;2.9983625;4.95662856656547e-218;5.3381007397897495e-216
18;ENSG00000262418;30.795763;2.566798;2.98607012871326e-208;3.0244624589395695e-206
19;ENSG00000116191;30.777342;1.7421551;5.26817293178058e-208;5.30433317202239e-206
20;ENSG00000255823;30.57157;1.1205213;2.92286142605791e-205;2.9085035102807796e-203
21;ENSG00000228253;30.136871;1.0335726;1.5940946776273698e-199;1.52388286710716e-197
23;ENSG00000067066;28.539808;1.0297439;3.75873802812575e-179;3.16627159834593e-177
26;ENSG00000065413;26.962284;2.4402359;4.09445498979214e-160;3.2556657059020096e-158
27;ENSG00000116754;26.437775;1.7949378;5.0435690155557295e-154;3.7640951916094796e-152
29;ENSG00000163660;24.222546;1.3103819;1.28770936406918e-129;8.49289245697717e-128
30;ENSG00000138639;23.837727;1.9249967;1.35760123156079e-125;8.58771098744919e-124
31;ENSG00000196911;23.669397;2.7884164;7.45294136868335e-124;4.6453937849639496e-122
32;ENSG00000104164;23.585476;2.1351635;5.43268451716571e-123;3.3493681066699897e-121
33;ENSG00000144218;23.581417;1.3458655;5.97932467164905e-123;3.6730754011833995e-121
34;ENSG00000183878;22.597536;3.039458;4.58232854107676e-113;2.61654035083766e-111
35;ENSG00000152818;22.420744;2.2099273;2.47026348408995e-111;1.37816404738605e-109
36;ENSG00000167483;21.42764;1.481613;7.38257668712222e-102;3.7952243174644e-100
38;ENSG00000248527;20.07283;1.0308734;1.2753222032033697e-89;6.07867860215925e-88
39;ENSG00000100201;19.99954;1.5514797;5.558179824478619e-89;2.63448434243254e-87
40;ENSG00000129003;19.943916;1.6947613;1.6927696339211502e-88;7.956952511271349e-87
41;ENSG00000100644;19.6729;1.1521199;3.6811345650923896e-86;1.7067625547578198e-84
42;ENSG00000149311;19.36709;2.0935435;1.4629699652649999e-83;6.56831053534283e-82
43;ENSG00000197563;18.902712;1.983763;1.0833980932585301e-79;4.72694921920183e-78
46;ENSG00000133138;18.565977;2.3768733;6.05749645897291e-77;2.5325395514959e-75
47;ENSG00000143924;18.490198;1.4615574;2.4763956575642098e-76;1.03027746966045e-74
48;ENSG00000132842;18.439125;1.7541023;6.376468062989799e-76;2.63354321747171e-74
49;ENSG00000150477;18.285776;1.8424698;1.0742446252199601e-74;4.35222536731971e-73
50;ENSG00000119707;17.881891;1.0964241;1.63204220357263e-71;6.413586636487709e-70
51;ENSG00000139793;17.788296;2.2487693;8.70874402808635e-71;3.3832874059798496e-69
54;ENSG00000244754;17.020397;1.0521593;5.7976381817361405e-65;2.0768970800088902e-63
55;ENSG00000114857;16.883472;1.8346928;5.95382175207078e-64;2.1062418073437898e-62
56;ENSG00000075884;16.702948;1.3925749;1.2474495115295698e-62;4.2882021996337605e-61
57;ENSG00000079263;16.67258;1.3892982;2.07439771554589e-62;7.059590305545791e-61
58;ENSG00000065243;16.401833;2.188275;1.8555526737372e-60;6.16681333912349e-59
61;ENSG00000069869;15.9523735;2.1116788;2.74271256631799e-57;8.772555832418589e-56
63;ENSG00000135976;15.687387;2.02901;1.8449274364795998e-55;5.74968594489686e-54
64;ENSG00000048740;15.660342;1.13075;2.82373827065625e-55;8.75204561265696e-54
67;ENSG00000048471;15.557242;1.6827766;1.42090776481652e-54;4.3407839364664e-53
68;ENSG00000198408;15.484777;1.3902189;4.39580332157314e-54;1.33569623785515e-52
69;ENSG00000153914;15.391082;1.9241076;1.87863603559457e-53;5.6678848903683104e-52
71;ENSG00000064313;15.244132;1.9772542;1.80110379701779e-52;5.33001429740082e-51
73;ENSG00000005810;14.762413;1.0378335;2.55957156942205e-49;7.27106340989743e-48
77;ENSG00000173230;14.412721;1.5227995;4.3041765174686503e-47;1.1793859520329499e-45
79;ENSG00000160229;14.252687;1.6660659;4.31355725671874e-46;1.16138433987858e-44
80;ENSG00000156110;14.210126;1.395307;7.928267991727521e-46;2.1278771001141197e-44
81;ENSG00000165805;14.2046995;1.942267;8.56695877974211e-46;2.29206557541025e-44
82;ENSG00000281614;14.081341;1.4885587;4.9462191050205694e-45;1.2968392032516197e-43
84;ENSG00000181722;14.068211;1.563766;5.95575426959207e-45;1.5543422492542696e-43
85;ENSG00000198625;13.786552;1.1188594;3.0708961371446095e-43;7.82251027988812e-42
87;ENSG00000082438;13.452703;1.4423609;2.9681777905694996e-41;7.36246549334265e-40
88;ENSG00000116489;13.242798;1.2021191;4.9663749232745e-40;1.20381532328261e-38
89;ENSG00000133131;13.1940975;1.9571021;9.48849114176736e-40;2.28367984820811e-38
90;ENSG00000134250;13.163922;1.318493;1.4154368569801001e-39;3.38273505033334e-38
93;ENSG00000122218;12.736642;1.7918702;3.69978699231216e-37;8.519022389876019e-36
94;ENSG00000007168;12.719106;1.371617;4.63132696567463e-37;1.06495486010702e-35
96;ENSG00000136051;12.56504;1.1489943;3.28710763876318e-36;7.359660997525549e-35
98;ENSG00000150995;12.398791;1.5607971;2.6529417869824397e-35;5.77269276819607e-34
0;ENSG00000108518;56.117584;7.5012913;0;0
1;ENSG00000277263;55.094906;8.189083;0;0
2;ENSG00000230708;53.665173;7.900892;0;0
3;ENSG00000215030;53.22091;7.860172;0;0
4;ENSG00000140988;52.904976;5.755867;0;0
5;ENSG00000075624;52.415997;3.4021192;0;0
6;ENSG00000240342;49.179714;7.8328185;0;0
7;ENSG00000204287;45.623413;5.5747576;0;0
8;ENSG00000198502;45.543716;7.477679;0;0
9;ENSG00000167996;45.140656;4.650519;0;0
10;ENSG00000179344;43.289345;6.1946983;0;0
11;ENSG00000197728;43.05379;4.275699;0;0
12;ENSG00000112335;40.82174;5.6165333;0;0
13;ENSG00000188820;40.63566;6.8275194;0;0
14;ENSG00000100906;40.179874;6.437085;0;0
15;ENSG00000167526;40.079105;2.4908977;0;0
16;ENSG00000136490;40.065094;4.7548113;0;0
17;ENSG00000223448;39.54315;4.2311516;0;0
18;ENSG00000237550;38.591946;4.07293;0;0
19;ENSG00000099624;38.5902;5.976803;0;0
20;ENSG00000206493;38.47904;3.809573;0;0
21;ENSG00000213402;37.97216;4.1544785;0;0
22;ENSG00000197111;37.914814;5.0941463;0;0
23;ENSG00000205581;37.89013;5.4800425;0;0
24;ENSG00000120742;37.416214;5.4064407;2.12943339746602e-293;1.24946340314765e-293
25;ENSG00000171223;36.581425;4.6731014;5.64685989754024e-293;3.20289893388482e-290
26;ENSG00000204525;36.187607;5.254136;9.537284092493119e-287;5.2350460038020297e-284
27;ENSG00000227993;36.053787;5.214692;1.20303500080434e-284;6.3971386167770805e-282
28;ENSG00000123144;35.936523;5.2840433000000004;8.2191900849448695e-283;4.2381132874370297e-280
30;ENSG00000223532;35.363308;4.579602;6.260595246782909e-274;3.04372253483594e-271
31;ENSG00000136156;35.361603;5.1715255;6.650433221257719e-274;3.14343810258115e-271
32;ENSG00000175390;34.98653;4.8802395;3.6058090069105796e-268;1.6582823259889302e-265
33;ENSG00000234745;34.96894;5.210904;6.67441242625521e-268;2.9887316275041804e-265
34;ENSG00000233276;34.944893;5.486807;1.5481446286287297e-267;6.75467410275549e-265
35;ENSG00000136938;34.834316;4.9292299999999996;7.35696639885922e-266;3.12965350607471e-263
36;ENSG00000273607;33.972664;5.043041;5.64547784964304e-253;2.34301100218356e-250
